movieId,Date,Time
1,2006-02-04,09:36:04
1,2006-01-14,02:47:05
1,2018-05-02,18:33:33
2,2018-06-12,22:52:09
2,2018-06-12,22:52:12
2,2018-06-12,22:51:47
2,2006-01-16,01:39:12
3,2006-03-27,02:01:00
3,2006-03-27,02:01:00
5,2006-01-16,01:11:43
5,2006-01-16,01:11:43
7,2006-01-16,01:40:42
11,2006-01-16,01:28:24
11,2006-01-16,01:28:24
14,2006-01-16,01:40:23
14,2006-01-16,01:40:23
16,2006-01-13,19:47:20
17,2006-01-13,19:39:13
21,2006-01-14,02:36:18
22,2006-01-16,01:38:16
25,2006-01-24,21:19:15
26,2006-01-24,21:20:03
28,2006-01-14,01:25:42
28,2006-01-13,19:20:37
29,2006-01-24,21:17:53
31,2006-01-16,01:38:22
31,2006-01-16,01:38:22
32,2016-03-13,20:44:32
32,2006-01-14,02:47:06
32,2009-05-16,17:18:30
32,2009-05-16,17:18:26
32,2009-05-16,17:18:41
32,2009-05-16,17:18:20
32,2009-05-16,17:18:20
32,2009-05-16,17:18:35
32,2009-05-16,17:18:24
32,2009-05-16,17:18:22
34,2006-01-13,19:35:56
34,2006-01-14,02:20:37
34,2009-06-12,06:24:05
36,2006-01-14,01:32:43
36,2006-01-13,22:27:07
38,2006-01-16,01:09:20
39,2012-09-26,02:51:07
39,2012-09-26,02:51:09
39,2012-09-26,02:51:11
39,2012-09-26,02:51:13
39,2012-09-26,02:51:18
39,2006-01-24,21:18:12
39,2006-01-24,21:18:12
40,2006-01-14,01:28:27
40,2006-01-14,01:28:27
41,2006-01-24,21:20:46
43,2006-01-24,21:20:40
45,2006-01-14,02:47:06
46,2006-01-16,01:38:59
47,2016-03-13,04:14:30
47,2016-03-13,04:14:18
47,2006-01-14,02:40:52
50,2016-03-13,04:12:08
50,2016-03-13,04:11:55
50,2016-03-13,04:12:12
50,2016-03-13,04:12:20
50,2016-03-13,04:11:46
50,2006-01-14,02:47:06
52,2006-01-14,02:38:35
52,2006-01-14,02:39:31
58,2006-01-24,21:20:13
62,2006-01-16,01:29:17
92,2006-01-24,21:19:34
96,2006-01-24,21:18:57
101,2006-01-24,21:17:40
101,2018-05-02,18:53:36
101,2018-05-02,18:53:34
104,2006-08-04,19:14:32
104,2006-01-16,01:13:34
104,2009-06-12,06:21:31
107,2006-01-16,01:39:33
110,2018-06-04,22:49:01
110,2018-06-04,22:48:52
110,2018-06-04,22:48:43
110,2018-06-04,22:48:47
110,2018-06-04,22:48:48
110,2018-06-04,22:48:41
110,2018-06-04,22:48:59
110,2018-06-04,22:48:51
110,2018-06-04,22:48:55
110,2006-01-13,19:36:14
111,2006-01-14,02:41:53
116,2006-01-23,18:19:58
122,2006-01-16,01:07:59
140,2006-01-16,01:30:31
147,2016-03-13,20:40:27
147,2016-03-13,20:40:31
147,2016-03-13,20:40:25
147,2016-03-13,20:40:24
150,2006-01-14,02:20:34
150,2006-01-13,19:36:17
150,2006-01-14,02:20:33
153,2006-02-04,09:37:20
153,2006-01-16,01:37:33
160,2006-01-16,01:08:46
161,2006-01-24,21:18:17
162,2006-01-14,01:27:18
175,2016-03-13,20:41:05
175,2016-03-13,20:41:11
175,2016-03-13,20:41:08
185,2006-01-16,01:40:04
199,2006-01-14,01:45:24
215,2006-01-23,18:20:10
216,2006-01-16,01:07:55
216,2009-06-12,06:21:58
216,2009-06-12,06:22:06
222,2006-01-13,19:47:24
223,2016-03-13,04:41:06
223,2016-03-13,04:41:26
223,2016-03-13,04:41:24
223,2016-03-13,04:41:13
223,2016-03-13,04:41:20
223,2006-01-24,21:18:00
224,2006-01-24,21:18:36
224,2006-01-24,21:18:36
230,2006-01-24,21:18:26
232,2006-01-14,01:10:27
235,2006-01-13,19:47:31
237,2006-01-24,21:18:48
237,2006-01-24,21:18:48
237,2006-01-24,21:18:48
246,2006-01-20,19:19:40
247,2006-01-13,19:47:46
248,2007-08-08,16:05:45
248,2007-08-08,16:05:45
249,2006-01-13,19:47:52
252,2006-01-16,01:13:41
257,2006-01-16,01:39:15
260,2015-09-25,16:48:18
260,2015-09-25,16:48:30
260,2015-08-10,00:13:14
260,2015-08-10,00:13:08
260,2015-05-18,13:05:12
260,2015-05-18,13:05:37
260,2015-09-18,00:21:22
260,2015-09-18,00:21:13
260,2015-09-18,00:21:06
260,2015-07-03,16:55:30
260,2015-07-03,16:55:20
260,2015-07-02,17:09:00
260,2015-07-02,17:09:15
260,2015-07-02,17:09:10
260,2018-03-01,10:11:41
260,2018-03-01,10:11:18
260,2018-03-01,10:11:48
260,2015-08-16,18:49:16
260,2015-08-16,18:49:21
260,2016-03-13,20:26:12
260,2016-03-13,20:26:06
260,2016-03-13,20:26:10
260,2016-03-13,20:26:15
260,2006-01-14,02:41:34
260,2006-01-14,02:41:36
260,2006-01-14,02:41:44
261,2006-01-13,19:48:08
262,2006-01-14,02:36:43
262,2006-01-14,02:36:43
262,2006-01-14,02:36:43
272,2006-01-24,21:19:26
272,2006-01-24,21:19:26
273,2009-03-22,16:24:24
277,2006-01-16,01:13:47
279,2006-01-14,01:29:19
280,2006-01-16,01:39:45
282,2006-01-16,01:39:54
282,2006-01-16,01:39:54
288,2016-03-13,05:16:24
288,2016-03-13,05:16:35
288,2016-03-13,05:16:20
288,2016-03-13,05:16:31
288,2016-03-13,05:16:38
288,2016-03-13,05:16:29
290,2006-01-14,01:25:07
293,2007-09-02,23:08:04
293,2007-09-02,23:08:07
293,2006-01-24,21:20:19
293,2017-06-26,05:49:02
293,2017-06-26,05:48:26
293,2017-06-26,05:49:52
293,2017-06-26,05:49:44
293,2017-06-26,05:49:27
293,2017-06-26,05:49:15
293,2017-06-26,05:49:01
293,2017-06-26,05:49:04
293,2017-06-26,05:49:09
293,2017-06-26,05:49:10
293,2017-06-26,05:48:59
293,2017-06-26,05:48:50
293,2017-06-26,05:48:48
293,2017-06-26,05:49:39
293,2017-06-26,05:49:25
293,2017-06-26,05:48:33
293,2017-06-26,05:49:37
293,2017-06-26,05:49:35
293,2017-06-26,05:48:41
293,2017-06-26,05:49:48
293,2017-06-26,05:49:46
293,2017-06-26,05:48:52
293,2017-06-26,05:48:57
293,2017-06-26,05:48:46
293,2017-06-26,05:49:12
293,2017-06-26,05:49:41
293,2017-06-26,05:49:19
293,2017-06-26,05:48:55
293,2017-06-26,05:49:42
293,2017-06-26,05:49:50
293,2017-06-26,05:49:07
293,2017-06-26,05:49:17
296,2015-05-18,13:09:15
296,2015-05-18,13:09:15
296,2015-05-18,13:09:15
296,2016-03-13,04:49:06
296,2016-03-13,04:49:10
296,2016-03-13,04:49:01
296,2016-03-13,04:49:17
296,2006-01-14,02:16:41
296,2017-06-26,05:55:37
296,2017-06-26,05:54:35
296,2017-06-26,05:52:36
296,2017-06-26,05:55:35
296,2017-06-26,05:55:33
296,2017-06-26,05:57:58
296,2017-06-26,05:54:33
296,2017-06-26,05:55:31
296,2017-06-26,05:53:02
296,2017-06-26,05:52:56
296,2017-06-26,05:55:59
296,2017-06-26,05:54:31
296,2017-06-26,05:54:29
296,2017-06-26,05:57:56
296,2017-06-26,05:57:55
296,2017-06-26,05:55:29
296,2017-06-26,05:57:53
296,2017-06-26,05:57:51
296,2017-06-26,05:52:30
296,2017-06-26,05:54:41
296,2017-06-26,05:57:50
296,2017-06-26,05:54:08
296,2017-06-26,05:54:27
296,2017-06-26,05:53:51
296,2017-06-26,05:52:32
296,2017-06-26,05:55:43
296,2017-06-26,05:57:49
296,2017-06-26,05:55:27
296,2017-06-26,05:54:26
296,2017-06-26,05:52:40
296,2017-06-26,05:57:47
296,2017-06-26,05:57:46
296,2017-06-26,05:52:58
296,2017-06-26,05:55:24
296,2017-06-26,05:53:25
296,2017-06-26,05:57:44
296,2017-06-26,05:52:33
296,2017-06-26,05:57:43
296,2017-06-26,05:53:11
296,2017-06-26,05:55:22
296,2017-06-26,05:52:25
296,2017-06-26,05:57:41
296,2017-06-26,05:54:24
296,2017-06-26,05:53:24
296,2017-06-26,05:52:19
296,2017-06-26,05:53:05
296,2017-06-26,05:53:15
296,2017-06-26,05:57:40
296,2017-06-26,05:57:38
296,2017-06-26,05:54:04
296,2017-06-26,05:55:21
296,2017-06-26,05:56:01
296,2017-06-26,05:57:36
296,2017-06-26,05:52:28
296,2017-06-26,05:57:35
296,2017-06-26,05:53:39
296,2017-06-26,05:55:19
296,2017-06-26,05:53:49
296,2017-06-26,05:55:17
296,2017-06-26,05:53:47
296,2017-06-26,05:53:56
296,2017-06-26,05:55:15
296,2017-06-26,05:57:33
296,2017-06-26,05:57:02
296,2017-06-26,05:58:06
296,2017-06-26,05:53:41
296,2017-06-26,05:53:03
296,2017-06-26,05:53:09
296,2017-06-26,05:53:26
296,2017-06-26,05:56:29
296,2017-06-26,05:55:13
296,2017-06-26,05:52:52
296,2017-06-26,05:53:16
296,2017-06-26,05:55:11
296,2017-06-26,05:55:09
296,2017-06-26,05:53:22
296,2017-06-26,05:53:00
296,2017-06-26,05:53:46
296,2017-06-26,05:54:10
296,2017-06-26,05:58:04
296,2017-06-26,05:54:43
296,2017-06-26,05:53:20
296,2017-06-26,05:53:32
296,2017-06-26,05:55:05
296,2017-06-26,05:56:02
296,2017-06-26,05:56:04
296,2017-06-26,05:54:48
296,2017-06-26,05:53:08
296,2017-06-26,05:54:50
296,2017-06-26,05:56:05
296,2017-06-26,05:54:22
296,2017-06-26,05:53:31
296,2017-06-26,05:55:41
296,2017-06-26,05:54:20
296,2017-06-26,05:56:07
296,2017-06-26,05:54:51
296,2017-06-26,05:54:18
296,2017-06-26,05:52:54
296,2017-06-26,05:54:54
296,2017-06-26,05:56:09
296,2017-06-26,05:53:34
296,2017-06-26,05:52:51
296,2017-06-26,05:56:11
296,2017-06-26,05:56:12
296,2017-06-26,05:56:14
296,2017-06-26,05:56:15
296,2017-06-26,05:56:17
296,2017-06-26,05:54:57
296,2017-06-26,05:54:58
296,2017-06-26,05:52:23
296,2017-06-26,05:54:46
296,2017-06-26,05:53:28
296,2017-06-26,05:52:47
296,2017-06-26,05:56:18
296,2017-06-26,05:52:21
296,2017-06-26,05:54:17
296,2017-06-26,05:56:20
296,2017-06-26,05:56:21
296,2017-06-26,05:53:13
296,2017-06-26,05:56:23
296,2017-06-26,05:56:25
296,2017-06-26,05:52:43
296,2017-06-26,05:54:39
296,2017-06-26,05:54:15
296,2017-06-26,05:56:26
296,2017-06-26,05:58:10
296,2017-06-26,05:56:31
296,2017-06-26,05:55:00
296,2017-06-26,05:54:38
296,2017-06-26,05:56:33
